Dataset,Experiment,MAE,MSE,Description
AQI36,baseline_l1,8.7425,290.56,L1 baseline (best ckpt)
AQI36,v4_curr0.3,8.7243,284.80,硬课程 quantile=0.3
AQI36,v4_s03,8.7132,279.99,硬课程+smooth=0.03
AQI36,v4_s01,8.6522,277.61,硬课程+smooth=0.01
AQI36,v5_t1,8.6571,277.93,软课程 t=1.0 s=0.03
AQI36,v5_t05,8.6398,277.26,软课程 t=0.5 s=0.03 (BEST)
PEMS08,baseline_l1,9.8595,284.36,L1 baseline (best ckpt)
PEMS08,v4,9.6236,280.10,硬课程
PEMS08,v4_s03,9.6186,278.64,硬课程+smooth=0.03
PEMS08,v5_t05,9.6166,278.99,软课程 t=0.5 s=0.03
PEMS08,v4_s01,9.6063,278.35,硬课程+smooth=0.01
PEMS08,v5_t1,9.6371,277.05,软课程 t=1.0 s=0.03
PEMS08,v5_t05_s01,9.5973,277.65,软课程 t=0.5 s=0.01 (BEST)
PEMS08,v4_s005,9.6319,278.75,硬课程+smooth=0.005
AQI36,v5_t05_s01,8.7343,295.10,软课程 t=0.5 s=0.01
AQI36,v5_t03_s03,8.8948,307.42,软课程 t=0.3 s=0.03
AQI36,v5_t05_cw05,8.7197,289.86,软课程 t=0.5 cw=0.5 s=0.03
AQI36,v5_t05_cw02,8.9999,316.87,软课程 t=0.5 cw=0.2 s=0.03
PEMS04,baseline_l1,14.2745,590.81,L1 baseline (new model)
PEMS04,v4_s03,14.2796,587.93,硬课程+smooth=0.03
PEMS04,v5_t05,14.2678,586.55,软课程 t=0.5 s=0.03
PEMS04,v4_s01,14.2505,584.74,硬课程+smooth=0.01
PEMS04,v4,14.1832,578.46,硬课程 (BEST)
PEMS04,v5_t05_s0,14.1895,579.72,软课程 t=0.5 s=0.0
PEMS08,v5_t05_s005,9.6097,277.56,软课程 t=0.5 s=0.005
PEMS04,v4_cw05,14.3160,586.23,硬课程 cw=0.5
PEMS08,v5_t03_s01,9.6053,277.32,软课程 t=0.3 s=0.01
